"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","FMTM","FMTM_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT07","WT07_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT13","WT13_ATTRIBUTES","WT14","WT14_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WT17","WT17_ATTRIBUTES","WT18","WT18_ATTRIBUTES","WT19","WT19_ATTRIBUTES","WT22","WT22_ATTRIBUTES"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2011-01-23","9.62",",,W"," 1141",",,X"," 1729",",,W","0.00",",,X,2400","0.0",",,X,","6.0",",,X,",,,"24",",,X","11",",,X",,,"  290",",,X","  290",",,X","19.9",",,X","25.9",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2011-01-24","5.82",",,W"," 0042",",,X"," 0042",",,W","0.00",",,X,2400","0.0",",,X,","6.0",",,X,",,,"24",",,X","6",",,X",,,"  280",",,X","  300",",,X","14.1",",,X","17.9",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2011-01-25","3.80",",,W"," 0416",",,X"," 0340",",,W","0.05",",,X,2400","1.0",",,X,","6.0",",,X,",,,"37",",,X","24",",,X",,,"  230",",,X","  210",",,X","14.1",",,X","19.9",",,X","    1",",,W","    1",",,X",,,,,,,,,,,"    1",",,X",,,,,,,,,,,"    1",",,X",,,"    1",",,X"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2011-01-26","9.40",",,W"," 1935",",,X"," 1935",",,W","1.29",",,X,2400","12.3",",,Z,","4.0",",,X,",,,"35",",,X","30",",,X",,,"   20",",,X","   20",",,X","21.9",",,X","36.9",",,X","    1",",,W","    1",",,X",,,,,,,,,,,"    1",",,X",,,,,,,"    1",",,X",,,"    1",",,X",,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2011-01-27","3.36",",,W"," 1228",",,X"," 1227",",,W","0.77",",,X,2400","6.7",",,X,","23.0",",,X,",,,"36",",,X","29",",,X",,,"  300",",,X","  290",",,X","14.1",",,X","21.9",",,X","    1",",,W","    1",",,X",,,,,,,,,,,"    1",",,X",,,,,,,,,,,"    1",",,X",,,"    1",",,X"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2011-01-28","3.58",",,W"," 1711",",,X"," 1248",",,W","0.00","T,,X,2400","0.0","T,,X,","20.0",",,X,",,,"34",",,X","28",",,X",,,"  140",",,X","  240",",,X","10.1",",,X","14.1",",,X","    1",",,W",,,,,,,,,,,,,"    1",",,X",,,"    1",",,X",,,,,,,"    1",",,X",,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2011-01-29","4.25",",,W"," 1029",",,X"," 1455",",,W","0.01",",,X,2400","0.0","T,,X,","19.0",",,X,",,,"36",",,X","29",",,X",,,"  270",",,X","  240",",,X","12.1",",,X","16.1",",,X","    1",",,W",,,,,,,,,,,,,"    1",",,X",,,"    1",",,X",,,,,,,"    1",",,X",,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2011-01-30","5.59",",,W"," 1443",",,X"," 1516",",,W","0.00",",,X,2400","0.0",",,X,","18.0",",,X,",,,"39",",,X","27",",,X",,,"  270",",,X","  250",",,X","15.0",",,X","21.0",",,X",,,,,,,,,,,,,,,"    1",",,X",,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2011-01-31","5.82",",,W"," 2139",",,X"," 2014",",,W","0.00","T,,X,2400","0.0","T,,X,","17.0",",,X,",,,"31",",,X","22",",,X",,,"   60",",,X","   40",",,X","12.1",",,X","16.1",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2011-02-01","8.95",",,W"," 2208",",,X"," 2142",",,W","0.17",",,X,2400","1.1",",,X,","18.0",",,X,",,,"30",",,X","25",",,X",,,"   40",",,X","   50",",,X","16.1",",,X","21.9",",,X","    1",",,W",,,,,,,,,,,,,,,,,,,,,"    1",",,X","    1",",,X","    1",",,X","    1",",,X",,
